,regressor,col_list,train_score,train_mae,test_mse,test_mae
0,PLSRegression,"['Major', 'Weighted GPA', 'GPA', 'STEM', 'Reviewer', 'High School', 'University']",7.8805969152528235,2.122251733388666,18.62919196192765,3.5770366929874666
1,PLSRegression,"['Weighted GPA', 'Reviewer', 'University', 'GPA', 'STEM', 'Major']",12.301971481545063,2.6805584217295877,20.814434271250157,3.8279422605414677
2,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'GPA', 'STEM', 'Major']",8.785262717364466,2.259146292969171,17.183303939985265,3.3784848932209104
3,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'GPA', 'STEM']",7.930107321997488,2.1282737724381695,17.565683759912176,3.487959555466072
4,PLSRegression,"['High School', 'Reviewer', 'University', 'GPA', 'STEM', 'Major']",7.439526667231709,2.0593379982168534,19.93250545450776,3.7314351357039666
5,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'STEM', 'Major']",7.535006087919511,2.0768626513100346,19.27048959846854,3.6471178421812644
6,PLSRegression,"['High School', 'Weighted GPA', 'University', 'GPA', 'STEM', 'Major']",7.09003872694687,2.046926207685348,19.514462120500998,3.6288504909535777
7,PLSRegression,"['High School', 'Weighted GPA', 'Reviewer', 'University', 'GPA', 'Major']",7.855754638819585,2.1926581426015916,20.28080246503004,3.691308205886845
8,PLSRegression,"['Weighted GPA', 'Reviewer', 'GPA', 'STEM', 'Major']",15.627191817163174,3.0751112118313313,20.293626050153904,3.754545812183943
9,PLSRegression,"['Weighted GPA', 'Reviewer', 'University', 'GPA', 'STEM']",12.928286021737344,2.768999154107674,19.776795843208063,3.745133330859872
10,PLSRegression,"['Reviewer', 'University', 'GPA', 'STEM', 'Major']",12.420633412490542,2.6717189808887496,23.246973230728983,4.12575520470546
11,PLSRegression,"['Weighted GPA', 'Reviewer', 'University', 'STEM', 'Major']",12.024518765714234,2.626892382340531,21.422517604726842,3.943791857104958
