FacilityName,FacilityNameFull,City,END
Acero Chtr Sch Newtwork - Roberto Clemente Campus,Acero Chtr Sch Newtwork - Roberto Clemente Campus,Chicago,
Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,Chicago,
Achievement Centers,Achievement Centers,La Grange Highlands,
ACTIONS Program,ACTIONS Program,Champaign,
Ada S McKinley Community Services,Ada S McKinley Community Services,Chicago,
Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy,
Adams Co Juvenile Detention Cntr,Adams Co Juvenile Detention Cntr,Quincy,
Adams County RSSP,Adams County RSSP,Quincy,
Adams Elem School,Adams Elem School,Lincoln,
Adams School,Adams School,Creal Springs,
Addams Elem School,Addams Elem School,Chicago,
Addison Early Learning Center,Addison Early Learning Center,Addison,
Addison SD 4,Addison SD 4,Addison,
Addison Trail High School,Addison Trail High School,Addison,
Adlai E Stevenson High School,Adlai E Stevenson High School,Lincolnshire,
Adlai E Stevenson HSD 125,Adlai E Stevenson HSD 125,Lincolnshire,
Adlai Stevenson Elem School,Adlai Stevenson Elem School,Elk Grove Village,
Adler Park School,Adler Park School,Libertyville,
Adm Richard E Byrd Elem School,Adm Richard E Byrd Elem School,Elk Grove Village,
Adolescent Adjustment Center,Adolescent Adjustment Center,Centreville,
Adolph Link Elem School,Adolph Link Elem School,Elk Grove Village,
Adult LIFE Academy,Adult LIFE Academy,Mattoon,
Adventist GlenOaks Hospital,Adventist GlenOaks Hospital,Glendale Heights,
Advocate Condell Day Center,Advocate Condell Day Center,Libertyville,
Agape Christian High School,Agape Christian High School,Marion,
Agassiz Elem School,Agassiz Elem School,Chicago,
Air Force Acad High School,Air Force Acad High School,Chicago,
AIS Intelligence Project,AIS Intelligence Project,Chicago,
Akiba-Schechter Day School,Akiba-Schechter Day School,Chicago,
Akin CCSD 91,Akin CCSD 91,Akin,
Akin Comm Cons Elem School,Akin Comm Cons Elem School,Akin,
Al Huda Academy,Al Huda Academy,Hanover Park,
Alan B Shepard Elem School,Alan B Shepard Elem School,Bourbonnais,
Alan B Shepard Middle School,Alan B Shepard Middle School,Deerfield,
Albany Park Multicultural Elem,Albany Park Multicultural Elem,Chicago,
Albers Elem School,Albers Elem School,Albers,
Albers SD 63,Albers SD 63,Albers,
Albert Cassens Elementary,Albert Cassens Elementary,Glen Carbon,
Albert Einstein Elem School,Albert Einstein Elem School,Hanover Park,
Albion Grade School,Albion Grade School,Albion,
Alcott College Prep,Alcott College Prep,Chicago,
Alcott Elem School,Alcott Elem School,Chicago,
Alcott Humanities High School,Alcott Humanities High School,Chicago,
Alcuin Montessori School,Alcuin Montessori School,Oak Park,
Alden Hebron Elem School,Alden Hebron Elem School,Hebron,
Alden Hebron SD 19,Alden Hebron SD 19,Hebron,
Alden-Hebron High School,Alden-Hebron High School,Hebron,
Alden-Hebron Middle School,Alden-Hebron Middle School,Hebron,
Aldridge Elem School,Aldridge Elem School,Chicago,
Alex M Martino Jr High School,Alex M Martino Jr High School,New Lenox,
Alexander Graham Bell Mont. INT,Alexander Graham Bell Mont. INT,Wheeling,
Alexander Graham Bell Montessori,Alexander Graham Bell Montessori,Wheeling,
Alexander Leigh Cntr for Autism,Alexander Leigh Cntr for Autism,McHenry,
Algonquin Lakes Elem Sch,Algonquin Lakes Elem Sch,Algonquin,
Algonquin Middle School,Algonquin Middle School,Des Plaines,
Algonquin Middle School,Algonquin Middle School,Algonquin,
Algonquin Primary Center,Algonquin Primary Center,Park Forest,
Algonquin Road Elem School,Algonquin Road Elem School,Fox River Grove,
Alhambra Primary School,Alhambra Primary School,Alhambra,
Alice Gustafson Elem School,Alice Gustafson Elem School,Batavia,
Alices Discovery Center,Alices Discovery Center,Waukegan,
All About Kids Montessori Sch,All About Kids Montessori Sch,Aurora,
All Day Montessori,All Day Montessori,Chicago,
All Saints Academy,All Saints Academy,Breese,
All Saints Catholic Academy,All Saints Catholic Academy,Rockford,
All Saints Catholic Academy,All Saints Catholic Academy,Naperville,
Alleman High School,Alleman High School,Rock Island,
Allen Junior High School,Allen Junior High School,La Moille,
Allendale - North Chicago,Allendale - North Chicago,North Chicago,
Allendale Association,Allendale Association,Lake Villa,
Allendale CCSD 17,Allendale CCSD 17,Allendale,
Allendale Elementary School,Allendale Elementary School,Allendale,
Allendale Res. Sch. Prg. Int,Allendale Res. Sch. Prg. Int,Lake Villa,
Allendale Residential School Prog,Allendale Residential School Prog,Lake Villa,
Allendale School,Allendale School,Lake Villa,
Allendale Stepping Stone-Day-Int,Allendale Stepping Stone-Day-Int,Lake Villa,
Allendale-Becker House,Allendale-Becker House,Waukegan,
Allendale-Stepping Stone West,Allendale-Stepping Stone West,Woodstock,
Allendale-Stepping Stone-Day,Allendale-Stepping Stone-Day,Lake Villa,
Allendale-Stepping Stone-LINC,Allendale-Stepping Stone-LINC,Woodstock,
Allendale-Stepping Stone-LINC-Int,Allendale-Stepping Stone-LINC-Int,Woodstock,
Allendale-Walter Cherry,Allendale-Walter Cherry,Waukegan,
Allen-Otter Creek CCSD 65,Allen-Otter Creek CCSD 65,Ransom,
ALOP Academic Learning Program,ALOP Academic Learning Program,Oak Park,
Alphonsus Acad & Cntr for Arts,Alphonsus Acad & Cntr for Arts,Chicago,
Alpine Academy,Alpine Academy,Tooele,
Alpine Academy,Alpine Academy,Rockford,
Alpine Academy-Willow Creek Home,Alpine Academy-Willow Creek Home,Erda,
Alpine Christian School,Alpine Christian School,Rockford,
Alsip-Hazlgrn-Oaklwn SD 126,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,
ALSP-Blackhawk MS-Bensenville SD 2,ALSP-Blackhawk MS-Bensenville SD 2,Bensenville,
ALSP-DuJardin Elem Sch-Bloomingdale SD 13,ALSP-DuJardin Elem Sch-Bloomingdale SD 13,Bloomingdale,
ALSP-F.E. Peacock MS-Itasca SD 10,ALSP-F.E. Peacock MS-Itasca SD 10,Itasca,
ALSP-Fenton CHS-Fenton HSD 100,ALSP-Fenton CHS-Fenton HSD 100,Bensenville,
ALSP-Lake Park East HS-Lake Park SD 108,ALSP-Lake Park East HS-Lake Park SD 108,Roselle,
ALSP-Medinah Inter Sch-Medinah SD 11,ALSP-Medinah Inter Sch-Medinah SD 11,Medinah,
ALSP-Westfield MS-Bloomingdale SD 13,ALSP-Westfield MS-Bloomingdale SD 13,Bloomingdale,
Alt Behavior Treatment Centers,Alt Behavior Treatment Centers,Mundelein,
Altamont CUSD 10,Altamont CUSD 10,Altamont,
Altamont Grade School,Altamont Grade School,Altamont,
Altamont High School,Altamont High School,Altamont,
Altamont Lutheran Interparish,Altamont Lutheran Interparish,Altamont,
Alternative Education Center,Alternative Education Center,Decatur,
Althoff Catholic High School,Althoff Catholic High School,Belleville,
Altntve Academic Acheivemnt Acad,Altntve Academic Acheivemnt Acad,Blue Island,
Alton CUSD 11,Alton CUSD 11,Alton,
Alton High School,Alton High School,Alton,
Alton Middle School,Alton Middle School,Alton,
Altus Academy,Altus Academy,Chicago,
