FacilityName,FacilityNameFull,City,END
Esmond Elem School,Esmond Elem School,Chicago,
Esperanza Community Services,Esperanza Community Services,Chicago,
Esperanza Learning Center,Esperanza Learning Center,Chicago,
Esperanza School,Esperanza School,Chicago,
Esperanza School - Intensive,Esperanza School - Intensive,Chicago,
Estelle Kampmeyer Elem School,Estelle Kampmeyer Elem School,O Fallon,
Estelle Sauget School of Choice,Estelle Sauget School of Choice,Cahokia,
Eswood C C Grade School,Eswood C C Grade School,Lindenwood,
Eswood CCSD 269,Eswood CCSD 269,Lindenwood,
ETHS Day School,ETHS Day School,Evanston,
Euclid Elem School,Euclid Elem School,Mount Prospect,
Eugene Field Elem School,Eugene Field Elem School,Wheeling,
Eugene Field Elem School,Eugene Field Elem School,Park Ridge,
Eugene Field Elem School,Eugene Field Elem School,Rock Island,
Eugene Field School,Eugene Field School,Normal,
Eunice Smith Elem School,Eunice Smith Elem School,Alton,
Eureka CUD 140,Eureka CUD 140,Eureka,
Eureka High School,Eureka High School,Eureka,
Eureka Middle School,Eureka Middle School,Eureka,
Evangelical School,Evangelical School,Godfrey,
Evans Junior High School,Evans Junior High School,Bloomington,
Evanston CCSD 65,Evanston CCSD 65,Evanston,
EVANSTON DAY SCHOOL,EVANSTON DAY SCHOOL,GLENVIEW,
Evanston Dists 65/202 Jnt Agr,Evanston Dists 65/202 Jnt Agr,Evanston,
Evanston Twp High School,Evanston Twp High School,Evanston,
Evanston Twp HSD 202,Evanston Twp HSD 202,Evanston,
Evansville Attendance Center,Evansville Attendance Center,Evansville,
Evelyn Alexander School,Evelyn Alexander School,North Chicago,
Everest Academy of Lemont,Everest Academy of Lemont,Lemont,
Everett Dirksen Elementary Sch,Everett Dirksen Elementary Sch,Schaumburg,
Everett Elem School,Everett Elem School,Chicago,
Everett Elem School,Everett Elem School,Lake Forest,
Everett F Kerr Middle School,Everett F Kerr Middle School,Blue Island,
Evergreen Academy,Evergreen Academy,Union,
Evergreen Academy Elem School,Evergreen Academy Elem School,Chicago,
Evergreen Elementary School,Evergreen Elementary School,Carol Stream,
Evergreen Park CHSD 231,Evergreen Park CHSD 231,Evergreen Park,
Evergreen Park ESD 124,Evergreen Park ESD 124,Evergreen Park,
Evergreen Park High School,Evergreen Park High School,Evergreen Park,
Everlasting Love Academy,Everlasting Love Academy,Chicago,
Evers Elem School,Evers Elem School,Chicago,
Every Childs Hope (ECH),Every Childs Hope (ECH),Saint Louis,
Every Childs Hope-Intensive,Every Childs Hope-Intensive,Saint Louis,
Ewing Mennonite School,Ewing Mennonite School,Ewing,
Ewing Northern CCSD 115,Ewing Northern CCSD 115,Ewing,
Ewing-Northern Elem School,Ewing-Northern Elem School,Ewing,
Exc Children Have Opportunities,Exc Children Have Opportunities,South Holland,
Excel Academy - Englewood HS,Excel Academy - Englewood HS,Chicago,
Excel Academy - Southwest HS,Excel Academy - Southwest HS,Chicago,
Excel Academy - Woodlawn HS,Excel Academy - Woodlawn HS,Chicago,
Excel Alternative Program,Excel Alternative Program,Atkinson,
Excel Institute,Excel Institute,Chicago,
Excellence in Academic Achievement Academy,Excellence in Academic Achievement Academy,Chicago,
Exceptional Learners,Exceptional Learners,Buffalo Grove,
Ezra Christian School,Ezra Christian School,West Frankfort,
Ezzard Charles School,Ezzard Charles School,Chicago,
F B Mccord Elem School,F B Mccord Elem School,Burbank,
F E Peacock Middle School,F E Peacock Middle School,Itasca,
Fabyan Elementary School,Fabyan Elementary School,Geneva,
Fairfield Comm H S Dist 225,Fairfield Comm H S Dist 225,Fairfield,
Fairfield Comm High School,Fairfield Comm High School,Fairfield,
Fairfield Elem Academy,Fairfield Elem Academy,Chicago,
Fairfield PSD 112,Fairfield PSD 112,Fairfield,
Fairmont School,Fairmont School,Lockport,
Fairmont SD 89,Fairmont SD 89,Lockport,
Fairmount Elem School,Fairmount Elem School,Downers Grove,
Fairview Early Childhood Center,Fairview Early Childhood Center,Rockford,
Fairview Elem School,Fairview Elem School,Hoffman Estates,
Fairview Elem School,Fairview Elem School,Mt Prospect,
Fairview Elem School,Fairview Elem School,Normal,
Fairview Elem School,Fairview Elem School,Springfield,
Fairview SD 72,Fairview SD 72,Skokie,
Fairview South Elementary School,Fairview South Elementary School,Skokie,
Faith Baptist Academy,Faith Baptist Academy,Glen Carbon,
Faith Baptist Christian School,Faith Baptist Christian School,Pekin,
Faith Baptist School,Faith Baptist School,Belleville,
Faith Bible Christian Academy,Faith Bible Christian Academy,Rosamond,
Faith Christian Academy,Faith Christian Academy,Evanston,
Faith Christian Academy,Faith Christian Academy,Sidell,
Faith Christian Elem/Jr Hi Sch,Faith Christian Elem/Jr Hi Sch,Geneva,
Faith Christian School,Faith Christian School,Monticello,
Faith Christian School,Faith Christian School,Chester,
Faith Christian School,Faith Christian School,Dixon,
Faith Evangelical Lutheran,Faith Evangelical Lutheran,Antioch,
FAITH LUTHERAN HIGH SCHOOL,FAITH LUTHERAN HIGH SCHOOL,CRYSTAL LAKE,
Faith Movers Academy,Faith Movers Academy,University Pk,
Faith Walk Community Christian Academy,Faith Walk Community Christian Academy,Chicago,
Falcon Ridge Ranch,Falcon Ridge Ranch,Virgin,
Falconer Elem School,Falconer Elem School,Chicago,
Families of Faith Christian Academy,Families of Faith Christian Academy,Channahon,
Family Enrichment Program (FEP),Family Enrichment Program (FEP),Riverdale,
Family Guidance Centers Inc,Family Guidance Centers Inc,Arlington Heights,
Faraday Elem School,Faraday Elem School,Chicago,
Farm and Nature Discovery Preschool,Farm and Nature Discovery Preschool,Palos Park,
Farmersville Elem School,Farmersville Elem School,Farmersville,
Farmingdale Elem School,Farmingdale Elem School,Pleasant Plains,
Farmington Central CUSD 265,Farmington Central CUSD 265,Farmington,
Farmington Central Elem Sch,Farmington Central Elem Sch,Farmington,
Farmington Central High Sch,Farmington Central High Sch,Farmington,
Farmington Central Jr High Sch,Farmington Central Jr High Sch,Farmington,
Farnsworth Elem School,Farnsworth Elem School,Chicago,
Farragut Career Academy HS,Farragut Career Academy HS,Chicago,
Farragut Elem School,Farragut Elem School,Joliet,
Farrington CCSD 99,Farrington CCSD 99,Bluford,
Farrington Elem School,Farrington Elem School,Bluford,
Fasman Yeshiva High School,Fasman Yeshiva High School,Skokie,
Father McGivney Catholic H S,Father McGivney Catholic H S,Glen Carbon,
Faulkner School,Faulkner School,Chicago,
Fearn Elementary School,Fearn Elementary School,North Aurora,
Feitshans Elem Sch,Feitshans Elem Sch,Springfield,
Felicity Schools LLC,Felicity Schools LLC,Deerfield,
Fenger Academy High School,Fenger Academy High School,Chicago,
Fenton CHSD 100,Fenton CHSD 100,Bensenville,
Fenton High School,Fenton High School,Bensenville,
Fenwick High School,Fenwick High School,Oak Park,
Fernway Park Elem School,Fernway Park Elem School,Orland Park,
Fernwood Elem School,Fernwood Elem School,Chicago,
Ferson Creek School,Ferson Creek School,Saint Charles,
Fidley De Fidley Do Academy,Fidley De Fidley Do Academy,Harvey,
Field CCSD 3,Field CCSD 3,Texico,
Field Elem School,Field Elem School,Chicago,
Field Elem School,Field Elem School,Elmhurst,
Field Elementary School,Field Elementary School,Texico,
Field Park Elem School,Field Park Elem School,Western Springs,
Field School,Field School,Northbrook,
Field Stevenson Elem School,Field Stevenson Elem School,Forest Park,
Fieldcrest CUSD 6,Fieldcrest CUSD 6,Minonk,
Fieldcrest Elem School,Fieldcrest Elem School,Oak Forest,
Fieldcrest High School,Fieldcrest High School,Minonk,
Fieldcrest Intermediate School,Fieldcrest Intermediate School,Toluca,
Fieldcrest Middle School,Fieldcrest Middle School,Wenona,
Fieldcrest Primary School,Fieldcrest Primary School,Minonk,
Fields Lab School,Fields Lab School,Macomb,
Finkl Elem School,Finkl Elem School,Chicago,
First Baptist Academy,First Baptist Academy,O Fallon,
First Baptist Christian School,First Baptist Christian School,Danville,
First Circle Ed for Young Child,First Circle Ed for Young Child,Oak Park,
First School,First School,Mahomet,
First Step Preschool,First Step Preschool,South Holland,
First Steps Nursery School,First Steps Nursery School,Round Lake Beach,
Fischer Middle School,Fischer Middle School,Aurora,
Fisher CUSD 1,Fisher CUSD 1,Fisher,
Fisher Grade School,Fisher Grade School,Fisher,
Fisher Jr/Sr High School,Fisher Jr/Sr High School,Fisher,
Fiske Elem School,Fiske Elem School,Chicago,
Five County Reg Voc Center,Five County Reg Voc Center,Tamms,
Five County Reg Voc System,Five County Reg Voc System,Tamms,
Five County Regional Alternative,Five County Regional Alternative,Murphysboro,
Fizer Temple Academy,Fizer Temple Academy,Chicago,
Flanagan Elem School,Flanagan Elem School,Flanagan,
Flanagan-Cornell Dist 74,Flanagan-Cornell Dist 74,Flanagan,
Flanagan-Cornell High School,Flanagan-Cornell High School,Flanagan,
FLEX Program,FLEX Program,Plano,
Flora CUSD 35,Flora CUSD 35,Flora,
Flora Elementary School,Flora Elementary School,Flora,
Flora High School,Flora High School,Flora,
Flossmoor Hills Elem School,Flossmoor Hills Elem School,Flossmoor,
Flossmoor Montessori School,Flossmoor Montessori School,Flossmoor,
Flossmoor SD 161,Flossmoor SD 161,Chicago Heights,
Floyd Henson Jr High Sch,Floyd Henson Jr High Sch,Flora,
FOCUS Safe Sch Program,FOCUS Safe Sch Program,Vandalia,
Ford Heights SD 169,Ford Heights SD 169,Ford Heights,
Ford Special Education Coop,Ford Special Education Coop,Gibson City,
Foreman High School,Foreman High School,Chicago,
Forest Bluff School,Forest Bluff School,Lake Bluff,
Forest Elem School,Forest Elem School,Des Plaines,
Forest Elem-D/HH EC Program,Forest Elem-D/HH EC Program,Des Plaines,
Forest Glen Elem School,Forest Glen Elem School,Glen Ellyn,
Forest Heights Lodge,Forest Heights Lodge,Evergreen,
Forest Hills Elem School,Forest Hills Elem School,Western Springs,
Forest Park Individual Ed School,Forest Park Individual Ed School,Joliet,
Forest Park Middle School,Forest Park Middle School,Forest Park,
Forest Park SD 91,Forest Park SD 91,Forest Park,
Forest Ridge SD 142,Forest Ridge SD 142,Oak Forest,
Forest Ridge Youth Services,Forest Ridge Youth Services,Madrid,
Forest Road Elem School,Forest Road Elem School,La Grange Park,
Forest View Elem School,Forest View Elem School,Mount Prospect,
Forrestal Elem School,Forrestal Elem School,Great Lakes,
Forreston Grade School,Forreston Grade School,Forreston,
Forreston Jr/Sr High Sch,Forreston Jr/Sr High Sch,Forreston,
Forrestville Valley CUSD 221,Forrestville Valley CUSD 221,Forreston,
Fort Dearborn Elem School,Fort Dearborn Elem School,Chicago,
Forum H S for Creative Study,Forum H S for Creative Study,Blue Island,
Foster Park Elem School,Foster Park Elem School,Chicago,
Foundations 4 Advancement,Foundations 4 Advancement,Steger,
Foundations College Prep Charter,Foundations College Prep Charter,Chicago,
Founders Elementary School,Founders Elementary School,Dekalb,
Four Rivers Spec Educ Dist,Four Rivers Spec Educ Dist,Jacksonville,
Fox Chase Elementary School,Fox Chase Elementary School,Oswego,
Fox Creek Elementary School,Fox Creek Elementary School,Bloomington,
Fox Lake GSD 114,Fox Lake GSD 114,Spring Grove,
Fox Meadow Elementary School,Fox Meadow Elementary School,South Elgin,
Fox Ridge School,Fox Ridge School,Saint Charles,
Fox River Grove Cons SD 3,Fox River Grove Cons SD 3,Fox River Grove,
Fox River Grove Middle School,Fox River Grove Middle School,Fox River Grove,
Fox Tech Transition Program,Fox Tech Transition Program,North Aurora,
Fox Valley Career Center,Fox Valley Career Center,Maple Park,
Fox Valley Montessori,Fox Valley Montessori,Aurora,
Frances Willard Elem School,Frances Willard Elem School,Rock Island,
Frances Xavier Warde Schools,Frances Xavier Warde Schools,Chicago,
Francis Granger Middle School,Francis Granger Middle School,Aurora,
Francis W Parker School,Francis W Parker School,Chicago,
Frank A Brodnicki Elem School,Frank A Brodnicki Elem School,Justice,
Frank C Whiteley Elem School,Frank C Whiteley Elem School,Hoffman Estates,
Frankfort CCSD 157C,Frankfort CCSD 157C,Frankfort,
Frankfort Comm High School,Frankfort Comm High School,West Frankfort,
Frankfort Community High School,Frankfort Community High School,West Frankfort,
Frankfort CUSD 168,Frankfort CUSD 168,West Frankfort,
Frankfort Intermediate School,Frankfort Intermediate School,West Frankfort,
Frankfort Square Elem School,Frankfort Square Elem School,Frankfort,
Franklin Co Detention Center 6-8,Franklin Co Detention Center 6-8,Benton,
Franklin Co Detention Center 9-12,Franklin Co Detention Center 9-12,Benton,
Franklin County Reg Del System,Franklin County Reg Del System,Benton,
Franklin CUSD 1,Franklin CUSD 1,Franklin,
Franklin East Grade School,Franklin East Grade School,Franklin,
Franklin Elem Fine Arts Center,Franklin Elem Fine Arts Center,Chicago,
Franklin Elem School,Franklin Elem School,Metropolis,
Franklin Elem School,Franklin Elem School,Sterling,
Franklin Elem School,Franklin Elem School,Belleville,
Franklin Elementary School,Franklin Elementary School,Franklin,
Franklin Elementary School,Franklin Elementary School,Park Ridge,
Franklin Elementary School,Franklin Elementary School,Dolton,
Franklin Elementary School,Franklin Elementary School,Mattoon,
Franklin Jr/Sr High School,Franklin Jr/Sr High School,Franklin,
Franklin Middle School,Franklin Middle School,Champaign,
Franklin Middle School,Franklin Middle School,Wheaton,
Franklin Park Middle School,Franklin Park Middle School,Salem,
Franklin Park SD 84,Franklin Park SD 84,Franklin Park,
Franklin Primary School,Franklin Primary School,Peoria,
Franklin-Jefferson Co Sp Ed Dist,Franklin-Jefferson Co Sp Ed Dist,Benton,
Franklin-Jefferson SPED-Int-K-12,Franklin-Jefferson SPED-Int-K-12,Benton,
Frankln/Johnsn/Massc/Willimsn ROE,Frankln/Johnsn/Massc/Willimsn ROE,Benton,
Frassati Catholic Academy,Frassati Catholic Academy,Wauconda,
Frazier Intl Magnet Elem School,Frazier Intl Magnet Elem School,Chicago,
Frazier Perspectives Magnet ES,Frazier Perspectives Magnet ES,Chicago,
Frazier Prep Acad Charter ES,Frazier Prep Acad Charter ES,Chicago,
Fred Rodgers Magnet Acad,Fred Rodgers Magnet Acad,Aurora,
Frederic L Chamberlain Center,Frederic L Chamberlain Center,Middleboro,
Frederic L Chamberlain Sch Int,Frederic L Chamberlain Sch Int,Middleboro,
Frederic L Chamberlain School,Frederic L Chamberlain School,Middleboro,
Frederick Nerge Elem School,Frederick Nerge Elem School,Roselle,
Frederick School,Frederick School,Grayslake,
Frederick Von Steuben Metropolitan Science Center,Frederick Von Steuben Metropolitan Science Center,Chicago,
Freeburg CCSD 70,Freeburg CCSD 70,Freeburg,
Freeburg CHSD 77,Freeburg CHSD 77,Freeburg,
Freeburg Community High Sch,Freeburg Community High Sch,Freeburg,
Freeburg Elem School,Freeburg Elem School,Freeburg,
Freeburg Primary Center,Freeburg Primary Center,Freeburg,
Freedom Elem School,Freedom Elem School,Plainfield,
Freedom Middle School,Freedom Middle School,Berwyn,
Freedom Outreach School,Freedom Outreach School,Vienna,
Freeman Elem School,Freeman Elem School,Aurora,
Freeport Alternative High Sch,Freeport Alternative High Sch,Freeport,
Freeport High School,Freeport High School,Freeport,
Freeport Middle School,Freeport Middle School,Freeport,
Freeport SD 145,Freeport SD 145,Freeport,
Fremont Elem School,Fremont Elem School,Mundelein,
Fremont Intermediate School,Fremont Intermediate School,Mundelein,
Fremont Jr High/Middle School,Fremont Jr High/Middle School,Mundelein,
Fremont SD 79,Fremont SD 79,Mundelein,
Fresh Anointing Academy of Excellence,Fresh Anointing Academy of Excellence,Chicago,
Fresh Start Treatment & Learning,Fresh Start Treatment & Learning,Effingham,
Friendship Jr High School,Friendship Jr High School,Des Plaines,
Frohardt Elem School,Frohardt Elem School,Granite City,
Fry Elementary School,Fry Elementary School,Naperville,
Fuller Elem School,Fuller Elem School,Chicago,
Fullerton Elem School,Fullerton Elem School,Addison,
Fulton Elem School,Fulton Elem School,Chicago,
Fulton Elem School,Fulton Elem School,Fulton,
Fulton High School,Fulton High School,Fulton,
Fulton Jr High School,Fulton Jr High School,O Fallon,
Funston Elem School,Funston Elem School,Chicago,
Furqaan Academy,Furqaan Academy,Bolingbrook,
Future Academy of Peoria,Future Academy of Peoria,Peoria,
Future Scholar Comm Dev Cntr,Future Scholar Comm Dev Cntr,Flossmoor,
Future Success Middle Sch,Future Success Middle Sch,Peoria,
Futures Unlimited,Futures Unlimited,Decatur,
Futureworld NFP,Futureworld NFP,Chicago,
G & L Johnson Career Academy,G & L Johnson Career Academy,Chicago,
G K Chesterton Academy of Chicago,G K Chesterton Academy of Chicago,Highland Park,
G N Dieterich Elem School,G N Dieterich Elem School,Aurora,
G Stanley Hall Elem School,G Stanley Hall Elem School,Glendale Heights,
Gage Park High School,Gage Park High School,Chicago,
Gages Lake School,Gages Lake School,Gages Lake,
Galapagos Rockford Charter Sch,Galapagos Rockford Charter Sch,Rockford,
Galatia CUSD 1,Galatia CUSD 1,Galatia,
Galatia Elem School,Galatia Elem School,Galatia,
Galatia Grade School Annex,Galatia Grade School Annex,Galatia,
Galatia High School,Galatia High School,Galatia,
Galatia Jr High,Galatia Jr High,Galatia,
Gale Elem Community Academy,Gale Elem Community Academy,Chicago,
Gale School,Gale School,Galesburg,
Galena High School,Galena High School,Galena,
Galena Middle School,Galena Middle School,Galena,
Galena Primary School,Galena Primary School,Galena,
Galena USD 120,Galena USD 120,Galena,
Galesburg Area Voc Ctr,Galesburg Area Voc Ctr,Galesburg,
Galesburg Christian School,Galesburg Christian School,Galesburg,
Galesburg CUSD 205,Galesburg CUSD 205,Galesburg,
Galesburg High School,Galesburg High School,Galesburg,
Galileo Elem Math & Sci Schol Acd,Galileo Elem Math & Sci Schol Acd,Chicago,
Gallatin CUSD 7,Gallatin CUSD 7,Junction,
Gallatin Elementary School,Gallatin Elementary School,Junction,
Gallatin High School,Gallatin High School,Junction,
Gallatin Junior High School,Gallatin Junior High School,Junction,
Gallistel Elem Language Academy,Gallistel Elem Language Academy,Chicago,
Galva CUSD 224,Galva CUSD 224,Galva,
Galva Elem School,Galva Elem School,Galva,
Galva Jr-Sr High School,Galva Jr-Sr High School,Galva,
Garcia Lorca Elem School,Garcia Lorca Elem School,Chicago,
Gard Elementary School,Gard Elementary School,Beardstown,
Garden Gate Montessori School,Garden Gate Montessori School,Plainfield,
Garden Hills Elem School,Garden Hills Elem School,Champaign,
Gardner CCSD 72C,Gardner CCSD 72C,Gardner,
Gardner Elem School,Gardner Elem School,Gardner,
Gardner Elementary School,Gardner Elementary School,Waterloo,
Gardner S Wilmington Twp HSD 73,Gardner S Wilmington Twp HSD 73,Gardner,
Gardner-South Wilmington Twp H S,Gardner-South Wilmington Twp H S,Gardner,
Garfield Elem School,Garfield Elem School,Maywood,
Garfield Elem School,Garfield Elem School,Forest Park,
Garfield Elem School,Garfield Elem School,Chicago Heights,
Garfield Elem School,Garfield Elem School,Elgin,
Garfield Elem School,Garfield Elem School,Danville,
Garfield Montessori School,Garfield Montessori School,Decatur,
Garvey M Elem School,Garvey M Elem School,Chicago,
Garvy J Elem School,Garvy J Elem School,Chicago,
Gary D Wright Elem Sch,Gary D Wright Elem Sch,Hampshire,
Gary Elem School,Gary Elem School,Chicago,
Gary Elementary School,Gary Elementary School,West Chicago,
Gateway Center For Educaiton,Gateway Center For Educaiton,Tinley Park,
Gateway Legacy Christian Academy,Gateway Legacy Christian Academy,Glen Carbon,
Gateway Montessori School,Gateway Montessori School,Chicago,
Gateway to Learning,Gateway to Learning,Chicago,
Gavin Central Elementary School,Gavin Central Elementary School,Ingleside,
Gavin SD 37,Gavin SD 37,Ingleside,
Gavin South Middle School,Gavin South Middle School,Ingleside,
GCE Lab School,GCE Lab School,Chicago,
GCMS Elementary School,GCMS Elementary School,Gibson City,
GCMS High School,GCMS High School,Gibson City,
GCMS Middle School,GCMS Middle School,Gibson City,
Geff CCSD 14,Geff CCSD 14,Geff,
Geff Elem School,Geff Elem School,Geff,
Gemini Middle School,Gemini Middle School,Niles,
Gen George Patton Elem School,Gen George Patton Elem School,Riverdale,
Gen George Patton SD 133,Gen George Patton SD 133,Riverdale,
Gen John A Logan Attendance Cntr,Gen John A Logan Attendance Cntr,Murphysboro,
Geneseo CUSD 228,Geneseo CUSD 228,Geneseo,
Geneseo High School,Geneseo High School,Geneseo,
Geneseo Middle School,Geneseo Middle School,Geneseo,
Geneva 304 Early Learning Center,Geneva 304 Early Learning Center,Geneva,
Geneva Christian School,Geneva Christian School,Geneva,
Geneva Community High School,Geneva Community High School,Geneva,
Geneva CUSD 304,Geneva CUSD 304,Geneva,
Geneva Middle Sch North,Geneva Middle Sch North,Geneva,
Geneva Middle Sch South,Geneva Middle Sch South,Geneva,
Genoa Elementary School,Genoa Elementary School,Genoa,
Genoa Kingston CUSD 424,Genoa Kingston CUSD 424,Genoa,
Genoa-Kingston High School,Genoa-Kingston High School,Genoa,
Genoa-Kingston Middle School,Genoa-Kingston Middle School,Genoa,
Geo T Wilkins Jr High School,Geo T Wilkins Jr High School,Justice,
George B Carpenter Elem School,George B Carpenter Elem School,Park Ridge,
George O Barr School,George O Barr School,Silvis,
George T Wilkins Elem School,George T Wilkins Elem School,Justice,
George W Lieb Elem School,George W Lieb Elem School,Bridgeview,
George Washington Elem School,George Washington Elem School,Park Ridge,
George Washington Elem School,George Washington Elem School,Moline,
George Washington Elementary Sch,George Washington Elementary Sch,Alsip,
Georgetown Elementary School,Georgetown Elementary School,Aurora,
Georgetowne Middle School,Georgetowne Middle School,Marquette Heights,
Georgetown-Ridge Farm CUD 4,Georgetown-Ridge Farm CUD 4,Georgetown,
Georgetown-Ridge Farm High School,Georgetown-Ridge Farm High School,Georgetown,
Gerber School-Cunningham,Gerber School-Cunningham,Urbana,
Gerber School-Cunningham (Combo),Gerber School-Cunningham (Combo),Urbana,
Gerber School-Cunningham (Day),Gerber School-Cunningham (Day),Urbana,
Gerber School-Cunningham (Int),Gerber School-Cunningham (Int),Urbana,
German School Chicago,German School Chicago,Chicago,
German Valley Grade School,German Valley Grade School,German Valley,
Germantown Elem School,Germantown Elem School,Germantown,
Germantown Hills Elementary Sch,Germantown Hills Elementary Sch,Germantown Hills,
Germantown Hills Middle School,Germantown Hills Middle School,Germantown Hills,
Germantown Hills SD 69,Germantown Hills SD 69,Germantown Hills,
Germantown SD 60,Germantown SD 60,Germantown,
Gesher Hatorah,Gesher Hatorah,Skokie,
Giant City CCSD 130,Giant City CCSD 130,Carbondale,
Giant City Elem School,Giant City Elem School,Carbondale,
Giant Steps Illinois,Giant Steps Illinois,Lisle,
Giant Steps-Illinois,Giant Steps-Illinois,Lisle,
Giant Steps-Illinois-Int.,Giant Steps-Illinois-Int.,Lisle,
Giant Steps-St Louis,Giant Steps-St Louis,Maplewood,
GIBAULT CATHOLIC,GIBAULT CATHOLIC,WATERLOO,
Gibault High School,Gibault High School,Waterloo,
Gibson City-Melvin-Sibley CUSD 5,Gibson City-Melvin-Sibley CUSD 5,Gibson City,
Gifford CCSD 188,Gifford CCSD 188,Gifford,
Gifford Grade School,Gifford Grade School,Gifford,
Gilberts Elem Sch,Gilberts Elem Sch,Gilberts,
Gillespie CUSD 7,Gillespie CUSD 7,Gillespie,
Gillespie Elem School,Gillespie Elem School,Chicago,
Gillespie High School,Gillespie High School,Gillespie,
Gillespie Middle School,Gillespie Middle School,Gillespie,
Gilson Brown Elem School,Gilson Brown Elem School,Godfrey,
Glacier Ridge Elementary School,Glacier Ridge Elementary School,Crystal Lake,
Gladness V Player Early Childhood Center,Gladness V Player Early Childhood Center,Justice,
Glen Carbon Elem School,Glen Carbon Elem School,Glen Carbon,
Glen Crest Middle School,Glen Crest Middle School,Glen Ellyn,
Glen Ellyn SD 41,Glen Ellyn SD 41,Glen Ellyn,
Glen Flora Elem School,Glen Flora Elem School,Waukegan,
Glen Grove Elem School,Glen Grove Elem School,Glenview,
Glen Hill Primary,Glen Hill Primary,Glendale Heights,
Glen Oak Comm Learning Cntr,Glen Oak Comm Learning Cntr,Peoria,
Glen Oaks Elem School,Glen Oaks Elem School,Hickory Hills,
Glenbard East High School,Glenbard East High School,Lombard,
Glenbard North High School,Glenbard North High School,Carol Stream,
Glenbard South High School,Glenbard South High School,Glen Ellyn,
Glenbard Twp HSD 87,Glenbard Twp HSD 87,Glen Ellyn,
Glenbard West High School,Glenbard West High School,Glen Ellyn,
Glenbrook Elem School,Glenbrook Elem School,Streamwood,
Glenbrook Evening High School,Glenbrook Evening High School,Glenview,
Glenbrook North High School,Glenbrook North High School,Northbrook,
Glenbrook Off-Campus Center,Glenbrook Off-Campus Center,Glenview,
Glenbrook South High School,Glenbrook South High School,Glenview,
Glencoe Montessori,Glencoe Montessori,Glencoe,
Glencoe SD 35,Glencoe SD 35,Glencoe,
Glendale Elem School,Glendale Elem School,East Peoria,
Glenn Elem School,Glenn Elem School,Normal,
Glenn Raymond Middle School,Glenn Raymond Middle School,Watseka,
Glenn Westlake Middle School,Glenn Westlake Middle School,Lombard,
GlenOaks Therapeutic Day-North,GlenOaks Therapeutic Day-North,Glendale Heights,
GlenOaks Therapeutic Day-West,GlenOaks Therapeutic Day-West,North Aurora,
GlenOaks Transition - South,GlenOaks Transition - South,Glen Ellyn,
GlenOaks-Therapeutic Day-South,GlenOaks-Therapeutic Day-South,Glen Ellyn,
Glenside Middle School,Glenside Middle School,Glendale Heights,
Glenview CCSD 34,Glenview CCSD 34,Glenview,
Glenview Middle School,Glenview Middle School,East Moline,
Glenview Montessori School,Glenview Montessori School,Northfield,
Glenview New Church School,Glenview New Church School,Glenview,
Glenwood Academy,Glenwood Academy,Glenwood,
Glenwood Elementary School,Glenwood Elementary School,Waukegan,
Glenwood Elementary School,Glenwood Elementary School,Chatham,
Glenwood High School,Glenwood High School,Chatham,
Glenwood Intermediate Sch,Glenwood Intermediate Sch,Chatham,
Glenwood Middle School,Glenwood Middle School,Chatham,
Gods Battle Axe Prayer Academy,Gods Battle Axe Prayer Academy,Chicago,
Goethe Elem School,Goethe Elem School,Chicago,
Goldie B Floberg - Brittania,Goldie B Floberg - Brittania,Rockford,
Goldie B Floberg - Cardamon,Goldie B Floberg - Cardamon,Rockford,
Goldie B Floberg - Carefree,Goldie B Floberg - Carefree,Rockford,
Goldie B Floberg - Colchester,Goldie B Floberg - Colchester,Machesney Park,
Goldie B Floberg - Grayling,Goldie B Floberg - Grayling,Rockford,
Goldie B Floberg - Kipling,Goldie B Floberg - Kipling,Machesney Pk,
Goldie B Floberg Center,Goldie B Floberg Center,Rockton,
Goldie B Floberg-Summer Brooke,Goldie B Floberg-Summer Brooke,South Beloit,
Goldie B Floberg-Upper Ridge Way,Goldie B Floberg-Upper Ridge Way,Roscoe,
Goldie B. Floberg - Commonwealth,Goldie B. Floberg - Commonwealth,Loves Park,
Goldie Floberg Center-Anee House,Goldie Floberg Center-Anee House,Rockford,
Golf ESD 67,Golf ESD 67,Morton Grove,
Golf Middle School,Golf Middle School,Morton Grove,
Golfview Elem School,Golfview Elem School,Carpentersville,
Gompers Junior High School,Gompers Junior High School,Joliet,
Good Shepherd Christian Academy,Good Shepherd Christian Academy,Chicago,
Good Shepherd Lutheran,Good Shepherd Lutheran,Collinsville,
Good Shepherd Lutheran,Good Shepherd Lutheran,Pekin,
Good Shepherd Lutheran Academy,Good Shepherd Lutheran Academy,Downers Grove,
Goode STEM Academy HS,Goode STEM Academy HS,Chicago,
Goodfield Elem School,Goodfield Elem School,Goodfield,
Goodings Grove School,Goodings Grove School,Homer Glen,
Goodlow Elem Magnet School,Goodlow Elem Magnet School,Chicago,
Goodrich Elem School,Goodrich Elem School,Woodridge,
Goodwin Elem School,Goodwin Elem School,North Aurora,
Goodwin Elementary School,Goodwin Elementary School,Cicero,
Gordon Bush Elementary,Gordon Bush Elementary,East Saint Louis,
Gordon Gregory Middle School,Gordon Gregory Middle School,Naperville,
Gordon School,Gordon School,Posen,
Goreville CUD 1,Goreville CUD 1,Goreville,
Goreville Elementary School,Goreville Elementary School,Goreville,
